"Ranking","Image","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"339","https://static-cdn.jtvnw.net/jtv_user_pictures/3a4c876e-1c4b-46ba-bf77-91e282202879-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","39daph","763090575","135825","12953","5618","1175471","133090","true","false","English","39daph"
"340","https://static-cdn.jtvnw.net/jtv_user_pictures/40e7f148-250e-4cae-b720-a9ca8eff1ae2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","egorkreed","381838035","33855","48393","11278","1174136","397837","true","false","Russian","egorkreed"
"341","https://static-cdn.jtvnw.net/jtv_user_pictures/acb75b9e-15b8-4ea2-872b-2c87322f83b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kitboga","339752940","44985","13879","7552","1168822","97712","true","false","English","Kitboga"
"342","https://static-cdn.jtvnw.net/jtv_user_pictures/4e1c48fc-010a-47e9-8097-6b474d846064-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AgenteMaxo","184444770","93030","23460","1982","1166711","176513","true","false","Spanish","AgenteMaxo"
"343","https://static-cdn.jtvnw.net/jtv_user_pictures/f8b8c774-e34d-40d9-ba21-9a81cfda73aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","STPeach","39703200","40920","6477","970","1159625","21518","true","false","English","STPeach"
"344","https://static-cdn.jtvnw.net/jtv_user_pictures/ddc5eac9-8234-4918-bf85-7c6e8db23401-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Joe_Bartolozzi","182307210","65310","15915","2791","1158568","315483","true","false","English","Joe_Bartolozzi"
"345","https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JLTomy","1824911145","145650","37548","12529","1158044","149457","true","false","French","JLTomy"
"346","https://static-cdn.jtvnw.net/jtv_user_pictures/maximilian_dood-profile_image-c6e12e1798861491-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Maximilian_DOOD","988848105","100950","51636","9795","1157633","133741","true","false","English","Maximilian_DOOD"
"347","https://static-cdn.jtvnw.net/jtv_user_pictures/338e8041-6289-4ba4-9029-d11f54153443-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dmitry_Lixxx","522713220","82785","31463","6314","1155734","319073","true","false","Russian","Dmitry_Lixxx"
"348","https://static-cdn.jtvnw.net/jtv_user_pictures/9b662d12-0b45-40db-8056-51e892d09b7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SUJAGG","134422485","140550","16556","956","1152379","96654","true","false","Spanish","SUJAGG"
"349","https://static-cdn.jtvnw.net/jtv_user_pictures/256b7ce0-8929-4119-8d1b-0e063f5b7549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Duke","116001150","13215","45332","8777","1149208","562825","true","false","English","Duke"
